method,window,RMSE_Male,RMSE_Female,RMSE_AbsDiff,MAE_Male,MAE_Female,MAE_AbsDiff,NDCG_Male,NDCG_Female,NDCG_AbsDiff,F1_Male,F1_Female,F1_AbsDiff
itemKNN,1,0.8603201975636683,0.8589469078574257,0.0013732897062426197,0.6725308442988405,0.669624530856174,0.0029063134426664528,0.901617400256756,0.9005760222020716,0.0010413780546844054,0.7389637203814767,0.7515738498789346,0.012610129497457878
BIAS,1,0.9036187518044784,0.887714964776401,0.015903787028077376,0.7063888149291024,0.6918648478272845,0.014523967101817914,0.8857826801732748,0.8924564546239334,0.006673774450658643,0.7159486618246941,0.7391627446123359,0.02321408278764181
userKNN,1,0.9073276875548308,0.8879064545552788,0.019421232999552007,0.7071937269164791,0.6885704263426434,0.018623300573835655,0.8932984909706383,0.897372361082201,0.004073870111562683,0.7435211657290418,0.7481698389458272,0.004648673216785415
SVD,1,0.8879116409475789,0.8671017616863071,0.020809879261271758,0.6929873565846792,0.6760493403989118,0.0169380161857674,0.8919119890020738,0.9018358693577008,0.009923880355626968,0.7227840571088637,0.7511690868816145,0.028385029772750814
BIASEDMF,1,0.869658034679971,0.8557826111658078,0.013875423514163265,0.6784373340013418,0.666802333377556,0.011635000623785752,0.8987989500560456,0.9007454930254984,0.0019465429694528469,0.739286755417355,0.750546514452271,0.01125975903491605
BayesianRidge,1,0.849636367897578,0.8333953066975814,0.016241061199996576,0.6702822553661503,0.6570320859359297,0.013250169430220615,0.904223346452786,0.9062503037184187,0.002026957265632734,0.7257095504454112,0.7474173553719008,0.021707804926489604
Tweedie,1,0.8689286395680311,0.8582153967329355,0.010713242835095671,0.6890260361683934,0.6805049083994187,0.008521127768974734,0.9022843729356472,0.9060035680010132,0.003719195065365999,0.7195046439628483,0.7385012919896641,0.018996648026815777
Ridge,1,0.8496334721033417,0.8333545353880821,0.016278936715259595,0.6702718484636052,0.6569858788877564,0.013285969575848822,0.9040855646137244,0.9066810847908272,0.00259552017710285,0.7256527144633237,0.7472243738703848,0.021571659407061072
RandomForest,1,0.8768066063212643,0.8638106462468645,0.012995960074399737,0.6917252098228162,0.6833486114855756,0.008376598337240582,0.896896743358558,0.8918738593921187,0.00502288396643924,0.7135113020353891,0.7328165374677003,0.019305235432311108
Bagging,1,0.9129237078773436,0.8974440203986311,0.015479687478712423,0.721738679929541,0.7075492046373686,0.014189475292172404,0.8863521350018394,0.8916997197974782,0.005347584795638793,0.7108457711442786,0.7289202114271331,0.018074440282854543
AdaBoost,1,0.8780074577229798,0.8690872114141699,0.008920246308809943,0.7104329159035689,0.7021887556736117,0.00824416022995722,0.9023086482904076,0.903902963976179,0.001594315685771397,0.6586448598130841,0.6985040276179517,0.039859167804867646
GradientBoosting,1,0.8535591734070257,0.8392826007671413,0.014276572639884355,0.6724411573127281,0.6600149743534758,0.012426182959252352,0.9037193903749444,0.9068697119340376,0.0031503215590932276,0.7235318444995864,0.7464752627531402,0.022943418253553838
LinearSVR,1,0.8525712081738889,0.8357853091582358,0.016785899015653083,0.6666665399319852,0.6534504435117557,0.013216096420229473,0.9034484361989666,0.906521586076622,0.00307314987765539,0.7379145025968837,0.752376188094047,0.014461685497163312
