analysis_type,group,algorithm,RMSE,NDCG,F1,MAE
fairness_activity,high,AdaBoost,1.1203256254655887,0.7463286634620301,0.5536214384752841,0.8905442468305508
fairness_activity,high,BIASEDMF,0.8859379619195437,0.8872571476115163,0.7213912552015099,0.6980150659997527
fairness_activity,high,Bagging,1.1357159750091812,0.7471194242207904,0.5610330591850503,0.9004719820913435
fairness_activity,high,BayesianRidge,1.1232149291459133,0.7467712100080202,0.5584890059444692,0.8926499252337239
fairness_activity,high,GradientBoosting,1.122707508282768,0.7452932787937872,0.5646509119786857,0.890000207094714
fairness_activity,high,LinearSVR,1.136380907360358,0.746889096301898,0.5735577138871556,0.900589445153676
fairness_activity,high,NMF,0.9167490820787844,0.8734113512124553,0.7030370398980468,0.7194304219704917
fairness_activity,high,RandomForest,1.12356350703334,0.7471927763976998,0.5616503569354022,0.8911696188593745
fairness_activity,high,Ridge,1.1234060543177804,0.7470696025983038,0.5586152884045115,0.8927825439627318
fairness_activity,high,SVD,0.8894128346690229,0.8896789449773411,0.7189941049048798,0.6997560433751796
fairness_activity,high,StochasticItemKNN,1.023810094010047,0.8266355769267494,0.6519831372034597,0.8078276985032876
fairness_activity,high,Tweedie,1.113828269839517,0.7456717866172973,0.5416232531996061,0.8882530334409358
fairness_activity,low,AdaBoost,1.082888750307768,0.8040668199294356,0.6044864225222771,0.862104561016763
fairness_activity,low,BIASEDMF,0.947688096247898,0.8894650869102199,0.7210515956608176,0.7456712275673383
fairness_activity,low,Bagging,1.0961614001104363,0.8039139618612987,0.6069585811381554,0.8714471538633289
fairness_activity,low,BayesianRidge,1.0862373597029438,0.8043006468231657,0.6063260038721944,0.8631732991885793
fairness_activity,low,GradientBoosting,1.0831164952275172,0.804319272340898,0.6143059045058855,0.8601304195135843
fairness_activity,low,LinearSVR,1.0959305519763651,0.8040918026213666,0.6215843898472694,0.8666855756812639
fairness_activity,low,NMF,1.0548955281277677,0.8747474552846622,0.6842222331427383,0.8215409424041095
fairness_activity,low,RandomForest,1.0834296046842589,0.8046644753221672,0.6143122882745058,0.8601869254340281
fairness_activity,low,Ridge,1.086540801530227,0.8042203066543787,0.6063569491899089,0.8633729378684949
fairness_activity,low,SVD,0.9425795578500284,0.8898411884543106,0.7215924293218245,0.7433712134431247
fairness_activity,low,StochasticItemKNN,1.1235903152204314,0.8378333312400044,0.6824803767608445,0.8705463212029187
fairness_activity,low,Tweedie,1.0809588262285599,0.8043098504300891,0.589324278857687,0.8620597105103943
