analysis_type,group,method,metric,mean,ci_lower,ci_upper
fairness_activity,high,BIASEDMF,mae,0.6980150659997527,0.6907879911144671,0.7052421408850383
fairness_activity,high,SVD,mae,0.6997560433751798,0.6930870039885713,0.7064250827617884
fairness_activity,high,NMF,mae,0.7194304219704918,0.7124321645986899,0.7264286793422937
fairness_activity,low,SVD,mae,0.7433712134431247,0.7381275924639963,0.7486148344222532
fairness_activity,low,BIASEDMF,mae,0.7456712275673381,0.7385975348767431,0.752744920257933
fairness_activity,high,StochasticItemKNN,mae,0.8078276985032876,0.8032799339809933,0.812375463025582
fairness_activity,low,NMF,mae,0.8215409424041092,0.7993053365061594,0.8437765483020591
fairness_activity,low,GradientBoosting,mae,0.8601304195135843,0.8542358209372232,0.8660250180899454
fairness_activity,low,RandomForest,mae,0.8601869254340281,0.8541830127655241,0.8661908381025321
fairness_activity,low,Tweedie,mae,0.8620597105103943,0.8563912051058589,0.8677282159149298
fairness_activity,low,AdaBoost,mae,0.862104561016763,0.8560596562946947,0.8681494657388313
fairness_activity,low,BayesianRidge,mae,0.8631732991885792,0.8574222069690652,0.8689243914080932
fairness_activity,low,Ridge,mae,0.8633729378684949,0.8576304823911481,0.8691153933458416
fairness_activity,low,LinearSVR,mae,0.866685575681264,0.8604214059459006,0.8729497454166275
fairness_activity,low,StochasticItemKNN,mae,0.8705463212029187,0.8528143171443581,0.8882783252614794
fairness_activity,low,Bagging,mae,0.871447153863329,0.865462047529928,0.8774322601967302
fairness_activity,high,Tweedie,mae,0.8882530334409358,0.8744265319109726,0.9020795349708989
fairness_activity,high,GradientBoosting,mae,0.890000207094714,0.8764486648463963,0.9035517493430316
fairness_activity,high,AdaBoost,mae,0.8905442468305508,0.8771497332168586,0.9039387604442429
fairness_activity,high,RandomForest,mae,0.8911696188593743,0.8776202115959982,0.9047190261227503
fairness_activity,high,BayesianRidge,mae,0.8926499252337239,0.8790579887215898,0.906241861745858
fairness_activity,high,Ridge,mae,0.8927825439627319,0.8791890662949434,0.9063760216305204
fairness_activity,high,Bagging,mae,0.9004719820913436,0.8870046767776041,0.9139392874050831
fairness_activity,high,LinearSVR,mae,0.900589445153676,0.8869952617842201,0.914183628523132
