method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper,group
GradientBoosting,ndcg,fairness_ratio_activity,108.43064828260384,10.226483170093434,106.4737097881678,95.17394807794793,152.16299658038872,95,106.37418681390996,110.48710975129772,1
Tweedie,ndcg,fairness_ratio_activity,108.36975027884418,10.13313861365554,106.14096702692018,93.663883648296,149.89978452033023,95,106.3320596310116,110.40744092667676,1
RandomForest,ndcg,fairness_ratio_activity,108.22017078635344,10.290463949190848,106.39342983644111,95.01404863019128,149.64429124266672,95,106.15084331037608,110.28949826233082,1
AdaBoost,ndcg,fairness_ratio_activity,108.20415453401472,9.833066094442874,106.35457628114392,94.42482414959036,144.88252086051816,95,106.22680599630064,110.1815030717288,1
BayesianRidge,ndcg,fairness_ratio_activity,108.18123635970716,9.87638148907148,105.89421244965165,94.32230158273252,146.57556964305363,95,106.19517745318169,110.16729526623266,1
LinearSVR,ndcg,fairness_ratio_activity,108.13865065020904,9.97067831240476,105.99335372109408,94.28561558750808,146.95910772114237,95,106.13362942979911,110.14367187061896,1
Ridge,ndcg,fairness_ratio_activity,108.12115476559998,9.85023851863485,105.79893914568814,94.3321346784606,146.97235893463846,95,106.14035299493302,110.10195653626694,1
Bagging,ndcg,fairness_ratio_activity,108.05760662949432,9.352411456141628,106.79639149084352,93.55940931847285,146.8621642370157,95,106.1769137775106,109.93829948147804,1
StochasticItemKNN,ndcg,fairness_ratio_activity,101.38217943132037,1.7335468688368398,101.275218394913,96.78123417414666,105.61383007306952,100,101.04240424502837,101.72195461761238,2
BIASEDMF,ndcg,fairness_ratio_activity,100.26681504907104,1.6934880334618818,100.26315079902383,95.35354900965989,104.6532869640088,100,99.9348913945125,100.59873870362956,3
NMF,ndcg,fairness_ratio_activity,100.16990984893062,1.4644005543065162,100.03461555122328,96.93630136756774,105.00816162459354,100,99.88288734028654,100.45693235757469,3
SVD,ndcg,fairness_ratio_activity,100.03646530398451,1.5736251325187285,99.6274787952074,96.3262939923138,104.30447727611632,100,99.72803477801084,100.3448958299582,3
