method,mean,ci_lower,ci_upper
StochasticItemKNN,0.0825381420325482,0.0653754359381773,0.0997008481269192
NMF,0.0741304802231566,0.0576291425709139,0.0906318178753993
LinearSVR,0.0570300027505926,0.0455575125871418,0.0685024929140434
RandomForest,0.056337088639379,0.0450458786390083,0.0676282986397498
Ridge,0.0562647112826427,0.045381707899224,0.0671477146660613
BayesianRidge,0.0562258563353276,0.0453432406730831,0.0671084719975722
GradientBoosting,0.05613693764282,0.0448330993837431,0.067440775901897
Bagging,0.0559829764487025,0.0446033402371337,0.0673626126602714
AdaBoost,0.0554125686834541,0.0443139732686847,0.0665111640982236
Tweedie,0.0537858492949278,0.0428775185321416,0.0646941800577141
SVD,0.0459601306002355,0.0373351434979288,0.0545851177025422
BIASEDMF,0.0458333155722303,0.0377164244254576,0.0539502067190031
