window,rank1,rank2,rank3,rank4,rank5
1,SVD,Bagging,itemKNN,BIAS,BIASEDMF
2,BIASEDMF,RandomForest,itemKNN,LinearSVR,BayesianRidge
3,SVD,BIAS,BIASEDMF,userKNN,itemKNN
4,BIAS,SVD,BIASEDMF,userKNN,itemKNN
5,Bagging,itemKNN,AdaBoost,userKNN,Tweedie
6,itemKNN,GradientBoosting,BIAS,Bagging,Tweedie
7,GradientBoosting,LinearSVR,BayesianRidge,Ridge,Bagging
8,itemKNN,BIASEDMF,Tweedie,BIAS,GradientBoosting
9,RandomForest,BIAS,LinearSVR,BayesianRidge,userKNN
10,GradientBoosting,itemKNN,SVD,BayesianRidge,Ridge
11,userKNN,BIASEDMF,SVD,itemKNN,BIAS
12,BIAS,userKNN,SVD,BIASEDMF,Ridge
13,BIAS,BIASEDMF,userKNN,SVD,itemKNN
14,RandomForest,Tweedie,Ridge,BayesianRidge,LinearSVR
15,userKNN,BIASEDMF,BIAS,itemKNN,SVD
16,itemKNN,BIASEDMF,userKNN,BIAS,LinearSVR
17,itemKNN,BIAS,SVD,userKNN,BIASEDMF
18,Bagging,userKNN,BIASEDMF,BIAS,itemKNN
19,BIASEDMF,SVD,BIAS,userKNN,itemKNN
20,userKNN,SVD,itemKNN,BIASEDMF,BIAS
